html,python,java,jee,devops,spark,hadoop,scala,linux,angular,apache,docker,drupal,sql,ssh,proxy,cloud,LABEL
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,Data Science
false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
true,true,true,false,true,false,false,false,true,false,false,true,false,false,false,false,true,Data Science
false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,Data Science
false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,Data Science
false,true,false,false,true,true,false,true,false,false,false,true,false,true,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,Data Science
false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,Data Science
false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,Data Science
false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,true,true,false,true,true,false,true,false,false,false,true,false,true,false,false,true,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,true,true,false,true,true,false,true,false,false,false,true,false,true,false,false,true,Data Science
false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,true,false,false,true,true,false,false,true,false,false,false,false,true,Data Science
false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,Data Science
false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,true,Data Science
false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,Data Science
false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,Data Science
false,false,true,false,true,true,true,true,false,true,false,false,false,true,false,false,true,Data Science
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,DevOps
false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,DevOps
false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,true,DevOps
false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,DevOps
false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,DevOps
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,DevOps
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,DevOps
false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,true,DevOps
false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,DevOps
false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,true,DevOps
false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,DevOps
false,false,true,false,true,false,false,false,false,true,false,true,false,true,false,false,false,DevOps
false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,DevOps
false,true,false,false,true,false,false,false,true,false,false,true,false,true,true,false,false,DevOps
false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,true,DevOps
false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,DevOps
false,true,false,false,true,false,false,false,true,false,false,true,false,true,true,false,false,DevOps
false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,DevOps
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,DevOps
false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,DevOps
false,false,true,false,true,false,false,false,true,false,true,false,false,true,false,false,true,DevOps
